epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.6489,3.09094,11.6871,1.43002,0,0,0,0,3.02884,64.617,1.30539,0.00043342,0.00043342,0.00043342
2,96.8472,2.31746,7.52287,1.15185,0.00014,0.02381,7e-05,3e-05,2.32457,39.3086,1.05915,0.000854354,0.000854354,0.000854354
3,154.396,2.19631,5.98868,1.0878,0.28019,0.06349,0.08721,0.04007,2.15128,9.27973,0.98084,0.00124558,0.00124558,0.00124558
4,210.507,2.02897,5.12069,1.02033,0.22668,0.20079,0.12698,0.07013,2.07945,7.21655,0.95029,0.00150197,0.00150197,0.00150197
5,266.679,2.01252,4.71481,1.03185,0.2566,0.25873,0.14144,0.06032,2.18397,6.41772,0.96094,0.00144696,0.00144696,0.00144696
6,330.215,1.91877,4.23426,0.99493,0.24343,0.25079,0.14497,0.06894,2.14224,5.94221,0.94424,0.00139195,0.00139195,0.00139195
7,389.193,2.07053,4.38545,1.00101,0.20604,0.33016,0.15411,0.0716,2.18025,5.41086,0.9505,0.00133693,0.00133693,0.00133693
8,447.59,1.84751,3.90185,0.96652,0.24477,0.28254,0.17776,0.09033,2.12431,4.92749,0.94634,0.00128192,0.00128192,0.00128192
9,509.241,1.83114,3.64169,0.98001,0.27105,0.28926,0.19884,0.10875,2.12853,4.74813,0.93596,0.00122691,0.00122691,0.00122691
10,568.326,1.85863,3.56966,0.95862,0.20944,0.29841,0.20883,0.10409,2.04019,4.66205,0.92051,0.0011719,0.0011719,0.0011719
11,637.074,1.82343,3.48339,0.95793,0.23174,0.31429,0.20347,0.08959,2.0073,4.50902,0.92225,0.00111689,0.00111689,0.00111689
12,706.265,1.78557,3.36757,0.91994,0.22508,0.3381,0.19033,0.09016,2.05995,4.36878,0.92478,0.00106188,0.00106188,0.00106188
13,780.761,1.85808,3.45495,0.94081,0.18389,0.33803,0.18584,0.08585,2.03724,4.2259,0.92174,0.00100687,0.00100687,0.00100687
14,849.284,1.67954,2.99581,0.95301,0.22915,0.32619,0.19515,0.08841,2.02615,4.01326,0.91362,0.000951857,0.000951857,0.000951857
15,910.937,1.69642,3.03662,0.92151,0.26248,0.30635,0.21031,0.10607,1.99984,3.9227,0.90388,0.000896846,0.000896846,0.000896846
16,979.57,1.73277,3.04719,0.93991,0.25097,0.31429,0.19781,0.09912,2.00409,3.84468,0.90676,0.000841835,0.000841835,0.000841835
17,1055.38,1.64896,3.01421,0.91179,0.26405,0.41429,0.20588,0.10564,2.01418,3.80471,0.91118,0.000786824,0.000786824,0.000786824
18,1125.51,1.67042,2.88056,0.9275,0.24195,0.40776,0.22309,0.10899,2.03998,3.72626,0.90984,0.000731813,0.000731813,0.000731813
19,1194.6,1.65915,2.7691,0.93122,0.22077,0.37778,0.22413,0.11634,2.03447,3.72385,0.90335,0.000676802,0.000676802,0.000676802
20,1263.18,1.59496,2.79221,0.91096,0.27551,0.35397,0.23193,0.11759,2.01926,3.62301,0.89752,0.000621791,0.000621791,0.000621791
21,1337.06,1.64956,2.9781,0.94756,0.25107,0.33016,0.23153,0.11792,1.9778,3.59112,0.8935,0.00056678,0.00056678,0.00056678
22,1407.48,1.62603,3.00456,0.94062,0.25525,0.34841,0.2279,0.11533,2.03259,3.62326,0.90241,0.000511769,0.000511769,0.000511769
23,1477.81,1.56162,2.93368,0.90188,0.25465,0.40397,0.24104,0.11988,2.02309,3.48069,0.9063,0.000456758,0.000456758,0.000456758
24,1553.87,1.67676,3.13856,0.91438,0.25883,0.45159,0.2541,0.12927,2.01913,3.40986,0.90483,0.000401747,0.000401747,0.000401747
25,1621.34,1.60003,2.83256,0.91599,0.25386,0.42778,0.24993,0.12333,2.01165,3.4185,0.90027,0.000346736,0.000346736,0.000346736
26,1691.71,1.58594,2.82336,0.93006,0.24507,0.37912,0.23392,0.11429,2.03824,3.4799,0.9074,0.000291725,0.000291725,0.000291725
27,1760.6,1.48562,2.57901,0.91325,0.27245,0.4119,0.25786,0.12446,2.03897,3.38807,0.91174,0.000236714,0.000236714,0.000236714
28,1828.23,1.53552,2.75689,0.8787,0.27034,0.3949,0.25238,0.13314,2.01402,3.30656,0.90969,0.000181703,0.000181703,0.000181703
29,1898.82,1.58879,2.82374,0.89453,0.27364,0.41216,0.24885,0.13425,2.00153,3.28079,0.9077,0.000126692,0.000126692,0.000126692
30,1966.42,1.5362,2.58936,0.89254,0.27158,0.42819,0.25323,0.13713,1.99315,3.27016,0.90424,7.1681e-05,7.1681e-05,7.1681e-05
